id;author;nbre_etoile;commentaire
1;Trafficway Computer;ONE;Orchestrator
2;Small Steel Sausages Turnpike;FOUR;Unbranded Metal Cheese alarm Home Loan Account
3;Beauty Borders viral;TWO;back-end white Checking Account
4;Kina primary Generic Rubber Soap;FIVE;Intelligent redundant
5;Fantastic Well optical;THREE;THX
6;open-source open-source generate;FOUR;Danish Krone Automotive
7;Multi-lateral Concrete;TWO;Personal Loan Account
8;Handmade Plastic Fish Towels;FOUR;compressing
9;Arkansas infrastructures engineer;TWO;grow Small Wooden Bike XML
10;payment Utah;TWO;deliverables indigo
